h,s,v
109.0,124.0,127.0
107.0,120.0,123.0
107.0,121.0,122.0
108.0,126.0,121.0
109.0,130.0,122.0
109.0,131.0,121.0
109.0,138.0,122.0
108.0,148.0,122.0
109.0,153.0,123.0
108.0,151.0,123.0
108.0,150.0,122.0
108.0,152.0,121.0
108.0,155.0,123.0
109.0,146.0,124.0
106.0,156.0,124.0
106.0,159.0,122.0
108.0,156.0,121.0
107.0,166.0,120.0
109.0,155.0,122.0
109.0,144.0,119.0
109.0,144.0,117.0
107.0,151.0,115.0
110.0,144.0,115.0
112.0,132.0,114.0
110.0,130.0,114.0
109.0,139.0,114.0
109.0,148.0,114.0
109.0,154.0,114.0
109.0,159.0,114.0
109.0,155.0,110.0
109.0,168.0,105.0
110.0,118.0,125.0
109.0,117.0,124.0
111.0,111.0,122.0
107.0,121.0,122.0
106.0,133.0,123.0
109.0,130.0,122.0
108.0,134.0,122.0
107.0,143.0,121.0
109.0,148.0,122.0
110.0,143.0,123.0
111.0,139.0,123.0
109.0,147.0,123.0
107.0,148.0,122.0
107.0,145.0,121.0
108.0,146.0,126.0
108.0,151.0,127.0
107.0,155.0,125.0
107.0,150.0,121.0
108.0,149.0,120.0
108.0,147.0,118.0
110.0,140.0,115.0
107.0,145.0,116.0
107.0,149.0,116.0
107.0,146.0,115.0
110.0,142.0,117.0
110.0,139.0,117.0
109.0,136.0,116.0
106.0,144.0,113.0
107.0,156.0,116.0
108.0,163.0,116.0
106.0,166.0,112.0
108.0,168.0,106.0
110.0,118.0,125.0
109.0,117.0,124.0
111.0,108.0,125.0
107.0,120.0,123.0
106.0,133.0,123.0
109.0,130.0,122.0
108.0,134.0,122.0
107.0,142.0,122.0
109.0,147.0,123.0
110.0,143.0,123.0
111.0,139.0,123.0
109.0,147.0,123.0
107.0,148.0,122.0
107.0,145.0,121.0
108.0,148.0,124.0
108.0,151.0,127.0
107.0,156.0,124.0
107.0,151.0,120.0
108.0,149.0,120.0
108.0,146.0,119.0
110.0,135.0,119.0
107.0,143.0,118.0
107.0,147.0,118.0
107.0,143.0,118.0
110.0,140.0,118.0
110.0,141.0,116.0
109.0,136.0,116.0
106.0,138.0,118.0
107.0,155.0,117.0
108.0,161.0,117.0
106.0,168.0,111.0
108.0,167.0,107.0
108.0,120.0,125.0
109.0,117.0,124.0
110.0,113.0,124.0
107.0,120.0,123.0
107.0,126.0,125.0
107.0,127.0,124.0
108.0,131.0,123.0
107.0,132.0,120.0
108.0,132.0,118.0
108.0,131.0,119.0
109.0,129.0,119.0
108.0,135.0,121.0
109.0,138.0,122.0
109.0,138.0,122.0
108.0,145.0,130.0
108.0,151.0,132.0
107.0,150.0,126.0
108.0,142.0,122.0
110.0,137.0,119.0
110.0,138.0,118.0
109.0,143.0,118.0
108.0,148.0,122.0
108.0,148.0,122.0
108.0,151.0,123.0
108.0,152.0,119.0
108.0,147.0,118.0
109.0,143.0,118.0
108.0,147.0,118.0
107.0,145.0,116.0
108.0,158.0,113.0
107.0,162.0,112.0
108.0,162.0,107.0
108.0,121.0,124.0
109.0,117.0,124.0
110.0,112.0,125.0
107.0,119.0,124.0
107.0,127.0,124.0
107.0,130.0,122.0
108.0,132.0,122.0
107.0,132.0,120.0
108.0,127.0,122.0
108.0,126.0,123.0
109.0,125.0,122.0
108.0,134.0,122.0
109.0,137.0,123.0
109.0,138.0,122.0
108.0,149.0,127.0
108.0,151.0,132.0
107.0,149.0,127.0
108.0,139.0,125.0
110.0,133.0,123.0
110.0,133.0,123.0
109.0,137.0,123.0
108.0,146.0,124.0
108.0,148.0,122.0
108.0,154.0,121.0
108.0,153.0,118.0
108.0,148.0,117.0
109.0,144.0,117.0
108.0,147.0,118.0
107.0,148.0,114.0
108.0,159.0,112.0
107.0,165.0,110.0
108.0,162.0,107.0
109.0,122.0,125.0
109.0,123.0,126.0
108.0,123.0,126.0
111.0,131.0,132.0
109.0,127.0,124.0
109.0,126.0,123.0
109.0,121.0,120.0
107.0,121.0,118.0
107.0,122.0,121.0
108.0,130.0,124.0
108.0,125.0,122.0
107.0,123.0,118.0
108.0,126.0,119.0
108.0,125.0,122.0
106.0,132.0,129.0
108.0,141.0,132.0
108.0,142.0,129.0
108.0,142.0,126.0
109.0,140.0,126.0
109.0,140.0,126.0
108.0,139.0,125.0
108.0,146.0,124.0
108.0,148.0,122.0
110.0,150.0,122.0
109.0,152.0,119.0
109.0,145.0,116.0
107.0,145.0,116.0
109.0,144.0,117.0
109.0,140.0,113.0
108.0,140.0,109.0
110.0,151.0,108.0
109.0,157.0,107.0
109.0,123.0,124.0
109.0,122.0,127.0
108.0,122.0,127.0
111.0,135.0,128.0
109.0,126.0,125.0
109.0,125.0,124.0
109.0,119.0,122.0
107.0,120.0,119.0
107.0,122.0,121.0
108.0,129.0,125.0
108.0,124.0,123.0
107.0,120.0,121.0
108.0,120.0,125.0
108.0,121.0,126.0
106.0,133.0,128.0
108.0,141.0,132.0
108.0,141.0,130.0
108.0,138.0,129.0
109.0,136.0,129.0
109.0,137.0,128.0
108.0,138.0,126.0
108.0,147.0,123.0
108.0,148.0,122.0
110.0,152.0,121.0
109.0,152.0,119.0
109.0,144.0,117.0
107.0,146.0,115.0
109.0,148.0,114.0
109.0,140.0,113.0
108.0,138.0,111.0
110.0,148.0,110.0
109.0,156.0,108.0
108.0,121.0,126.0
109.0,124.0,127.0
107.0,129.0,130.0
108.0,126.0,128.0
108.0,122.0,125.0
108.0,123.0,124.0
108.0,121.0,124.0
109.0,116.0,121.0
107.0,117.0,124.0
108.0,121.0,124.0
109.0,115.0,118.0
108.0,115.0,120.0
109.0,116.0,125.0
108.0,120.0,127.0
108.0,123.0,126.0
108.0,129.0,127.0
107.0,135.0,128.0
108.0,133.0,130.0
108.0,128.0,128.0
108.0,135.0,128.0
107.0,139.0,125.0
106.0,141.0,119.0
107.0,145.0,120.0
108.0,152.0,124.0
108.0,152.0,124.0
109.0,144.0,119.0
109.0,136.0,114.0
108.0,136.0,111.0
110.0,141.0,114.0
109.0,142.0,111.0
108.0,143.0,109.0
107.0,157.0,107.0
108.0,121.0,126.0
109.0,125.0,126.0
107.0,134.0,126.0
108.0,128.0,126.0
108.0,122.0,125.0
108.0,123.0,124.0
108.0,122.0,123.0
109.0,116.0,121.0
107.0,119.0,122.0
108.0,120.0,125.0
109.0,110.0,123.0
108.0,113.0,122.0
109.0,116.0,125.0
108.0,121.0,126.0
108.0,122.0,127.0
108.0,128.0,128.0
107.0,135.0,128.0
108.0,134.0,129.0
108.0,128.0,128.0
108.0,137.0,127.0
107.0,140.0,124.0
106.0,138.0,122.0
107.0,143.0,121.0
108.0,153.0,123.0
108.0,156.0,121.0
109.0,144.0,119.0
109.0,134.0,116.0
108.0,132.0,114.0
110.0,141.0,114.0
109.0,140.0,113.0
108.0,140.0,111.0
107.0,156.0,108.0
108.0,121.0,126.0
109.0,116.0,121.0
109.0,118.0,123.0
109.0,112.0,121.0
110.0,114.0,123.0
110.0,118.0,125.0
108.0,120.0,125.0
110.0,113.0,124.0
110.0,114.0,125.0
110.0,118.0,125.0
110.0,119.0,124.0
109.0,124.0,125.0
108.0,129.0,125.0
111.0,131.0,130.0
112.0,119.0,126.0
109.0,124.0,127.0
107.0,130.0,129.0
109.0,129.0,132.0
109.0,120.0,127.0
108.0,121.0,124.0
108.0,125.0,122.0
107.0,124.0,119.0
107.0,131.0,121.0
107.0,135.0,123.0
107.0,136.0,122.0
107.0,134.0,118.0
108.0,132.0,116.0
107.0,139.0,114.0
108.0,136.0,111.0
108.0,139.0,112.0
108.0,138.0,111.0
108.0,144.0,108.0
108.0,123.0,124.0
109.0,116.0,121.0
109.0,117.0,124.0
109.0,110.0,123.0
110.0,112.0,125.0
110.0,117.0,126.0
108.0,119.0,126.0
110.0,111.0,126.0
110.0,113.0,126.0
110.0,118.0,125.0
110.0,119.0,124.0
109.0,125.0,124.0
108.0,130.0,124.0
111.0,135.0,127.0
112.0,118.0,127.0
109.0,124.0,127.0
107.0,131.0,128.0
109.0,135.0,127.0
109.0,122.0,125.0
108.0,121.0,124.0
108.0,123.0,124.0
107.0,121.0,122.0
107.0,127.0,124.0
107.0,132.0,126.0
107.0,135.0,123.0
107.0,132.0,120.0
108.0,131.0,117.0
107.0,137.0,115.0
108.0,133.0,113.0
108.0,138.0,113.0
108.0,138.0,111.0
108.0,144.0,108.0
106.0,163.0,105.0
107.0,166.0,106.0
107.0,166.0,106.0
107.0,164.0,106.0
107.0,156.0,108.0
107.0,153.0,108.0
106.0,150.0,109.0
108.0,146.0,110.0
107.0,152.0,111.0
107.0,154.0,109.0
107.0,156.0,108.0
107.0,159.0,106.0
107.0,162.0,104.0
107.0,168.0,103.0
107.0,172.0,101.0
108.0,168.0,103.0
108.0,174.0,104.0
107.0,176.0,103.0
108.0,179.0,101.0
107.0,167.0,99.0
107.0,167.0,99.0
107.0,169.0,98.0
108.0,166.0,97.0
107.0,174.0,95.0
108.0,171.0,94.0
108.0,165.0,93.0
107.0,172.0,92.0
107.0,176.0,90.0
108.0,181.0,89.0
107.0,193.0,86.0
108.0,194.0,84.0
108.0,150.0,107.0
108.0,143.0,107.0
107.0,144.0,106.0
107.0,144.0,106.0
107.0,141.0,105.0
107.0,138.0,105.0
108.0,140.0,109.0
108.0,140.0,111.0
108.0,139.0,110.0
108.0,143.0,107.0
108.0,143.0,107.0
108.0,144.0,106.0
107.0,152.0,104.0
107.0,161.0,103.0
107.0,163.0,102.0
108.0,158.0,103.0
108.0,171.0,106.0
107.0,172.0,101.0
107.0,166.0,100.0
108.0,163.0,100.0
108.0,157.0,99.0
109.0,156.0,98.0
107.0,163.0,97.0
107.0,171.0,97.0
108.0,165.0,93.0
110.0,159.0,93.0
107.0,161.0,90.0
108.0,168.0,91.0
108.0,178.0,90.0
108.0,183.0,88.0
108.0,187.0,86.0
108.0,146.0,110.0
108.0,140.0,109.0
107.0,142.0,108.0
107.0,142.0,108.0
107.0,137.0,108.0
107.0,135.0,108.0
108.0,139.0,110.0
108.0,140.0,111.0
108.0,139.0,110.0
108.0,139.0,110.0
108.0,139.0,110.0
108.0,143.0,107.0
107.0,151.0,105.0
107.0,159.0,104.0
107.0,159.0,104.0
108.0,158.0,103.0
108.0,176.0,103.0
107.0,170.0,102.0
107.0,164.0,101.0
108.0,163.0,100.0
108.0,156.0,100.0
109.0,155.0,99.0
107.0,163.0,97.0
107.0,174.0,95.0
108.0,166.0,92.0
110.0,161.0,92.0
107.0,160.0,91.0
108.0,170.0,90.0
108.0,177.0,91.0
108.0,181.0,89.0
108.0,183.0,88.0
107.0,131.0,109.0
107.0,131.0,109.0
106.0,135.0,108.0
106.0,133.0,109.0
107.0,136.0,109.0
106.0,133.0,109.0
107.0,141.0,112.0
108.0,142.0,113.0
110.0,142.0,113.0
109.0,141.0,110.0
108.0,139.0,108.0
109.0,142.0,108.0
108.0,143.0,105.0
109.0,146.0,105.0
108.0,150.0,104.0
109.0,149.0,103.0
108.0,151.0,101.0
107.0,164.0,101.0
109.0,163.0,103.0
109.0,157.0,101.0
108.0,161.0,100.0
108.0,155.0,99.0
108.0,160.0,97.0
108.0,164.0,95.0
109.0,165.0,93.0
110.0,156.0,90.0
110.0,163.0,91.0
108.0,170.0,90.0
108.0,171.0,91.0
107.0,178.0,89.0
108.0,181.0,86.0
107.0,128.0,112.0
107.0,130.0,110.0
106.0,132.0,110.0
106.0,135.0,108.0
107.0,137.0,108.0
106.0,135.0,108.0
107.0,142.0,111.0
108.0,145.0,111.0
110.0,143.0,112.0
109.0,140.0,111.0
108.0,136.0,111.0
109.0,142.0,108.0
108.0,141.0,107.0
109.0,144.0,106.0
108.0,150.0,104.0
109.0,147.0,104.0
108.0,149.0,103.0
107.0,164.0,101.0
109.0,167.0,101.0
109.0,158.0,100.0
108.0,161.0,100.0
108.0,158.0,97.0
108.0,162.0,96.0
108.0,164.0,95.0
109.0,165.0,93.0
110.0,154.0,91.0
110.0,164.0,90.0
108.0,168.0,91.0
108.0,171.0,91.0
107.0,182.0,87.0
108.0,183.0,85.0
108.0,119.0,111.0
109.0,125.0,112.0
107.0,131.0,111.0
107.0,130.0,110.0
106.0,130.0,106.0
108.0,127.0,108.0
107.0,135.0,108.0
108.0,140.0,109.0
108.0,140.0,109.0
109.0,142.0,111.0
108.0,143.0,109.0
109.0,144.0,110.0
108.0,149.0,108.0
109.0,145.0,109.0
109.0,148.0,105.0
108.0,148.0,105.0
108.0,150.0,104.0
108.0,154.0,101.0
108.0,157.0,99.0
108.0,159.0,98.0
109.0,160.0,99.0
108.0,164.0,98.0
109.0,162.0,96.0
109.0,161.0,95.0
109.0,161.0,95.0
109.0,164.0,95.0
109.0,170.0,93.0
108.0,171.0,91.0
108.0,170.0,90.0
108.0,179.0,87.0
108.0,180.0,85.0
108.0,119.0,111.0
109.0,127.0,110.0
107.0,132.0,110.0
107.0,129.0,111.0
106.0,126.0,109.0
108.0,125.0,110.0
107.0,133.0,109.0
108.0,137.0,112.0
108.0,137.0,112.0
109.0,144.0,110.0
108.0,141.0,110.0
109.0,145.0,109.0
108.0,152.0,106.0
109.0,151.0,105.0
109.0,150.0,104.0
108.0,153.0,102.0
108.0,153.0,102.0
108.0,156.0,100.0
108.0,156.0,100.0
108.0,159.0,98.0
109.0,163.0,97.0
108.0,166.0,97.0
109.0,162.0,96.0
109.0,159.0,96.0
109.0,161.0,95.0
109.0,165.0,94.0
109.0,170.0,93.0
108.0,169.0,92.0
108.0,170.0,90.0
108.0,175.0,89.0
108.0,174.0,88.0
109.0,114.0,107.0
109.0,123.0,110.0
111.0,121.0,112.0
109.0,123.0,114.0
109.0,125.0,116.0
107.0,127.0,114.0
107.0,132.0,110.0
107.0,138.0,111.0
109.0,141.0,112.0
108.0,144.0,108.0
108.0,151.0,108.0
107.0,156.0,108.0
109.0,152.0,104.0
109.0,150.0,102.0
108.0,151.0,101.0
107.0,159.0,104.0
108.0,156.0,100.0
108.0,161.0,100.0
108.0,168.0,103.0
108.0,162.0,99.0
108.0,166.0,97.0
107.0,172.0,98.0
110.0,164.0,98.0
111.0,150.0,97.0
109.0,161.0,95.0
107.0,171.0,97.0
110.0,171.0,97.0
109.0,168.0,94.0
107.0,176.0,90.0
108.0,173.0,90.0
109.0,176.0,90.0
109.0,112.0,109.0
109.0,123.0,110.0
111.0,122.0,111.0
109.0,127.0,110.0
109.0,130.0,112.0
107.0,132.0,110.0
107.0,132.0,110.0
107.0,140.0,109.0
109.0,144.0,110.0
108.0,145.0,107.0
108.0,154.0,106.0
107.0,162.0,104.0
109.0,154.0,103.0
109.0,151.0,101.0
108.0,153.0,100.0
107.0,164.0,101.0
108.0,157.0,99.0
108.0,161.0,100.0
108.0,172.0,101.0
108.0,164.0,98.0
108.0,166.0,97.0
107.0,172.0,98.0
110.0,162.0,99.0
111.0,150.0,97.0
109.0,161.0,95.0
107.0,173.0,96.0
110.0,171.0,97.0
109.0,170.0,93.0
107.0,172.0,92.0
108.0,171.0,91.0
109.0,174.0,91.0
109.0,129.0,113.0
108.0,126.0,109.0
110.0,119.0,107.0
111.0,122.0,109.0
110.0,129.0,111.0
110.0,132.0,112.0
108.0,138.0,109.0
108.0,143.0,109.0
109.0,146.0,108.0
108.0,151.0,108.0
108.0,153.0,105.0
108.0,157.0,104.0
109.0,160.0,105.0
109.0,154.0,103.0
108.0,159.0,101.0
108.0,159.0,101.0
107.0,165.0,102.0
107.0,167.0,101.0
108.0,163.0,100.0
109.0,160.0,99.0
108.0,166.0,97.0
107.0,170.0,99.0
108.0,163.0,100.0
109.0,155.0,99.0
108.0,160.0,94.0
108.0,164.0,95.0
108.0,168.0,97.0
108.0,168.0,97.0
109.0,166.0,95.0
108.0,169.0,92.0
108.0,175.0,92.0
109.0,133.0,109.0
108.0,127.0,108.0
110.0,119.0,107.0
111.0,123.0,108.0
110.0,131.0,109.0
110.0,136.0,109.0
108.0,139.0,108.0
108.0,144.0,108.0
109.0,146.0,108.0
108.0,153.0,107.0
108.0,152.0,106.0
108.0,155.0,105.0
109.0,159.0,106.0
109.0,154.0,103.0
108.0,159.0,101.0
108.0,158.0,102.0
107.0,163.0,103.0
107.0,165.0,102.0
108.0,162.0,101.0
109.0,158.0,100.0
108.0,162.0,99.0
107.0,170.0,99.0
108.0,163.0,100.0
109.0,158.0,97.0
108.0,157.0,96.0
108.0,162.0,96.0
108.0,168.0,97.0
108.0,168.0,97.0
109.0,165.0,96.0
108.0,165.0,94.0
108.0,173.0,93.0
108.0,124.0,107.0
107.0,132.0,110.0
109.0,130.0,108.0
107.0,137.0,106.0
107.0,137.0,106.0
107.0,136.0,107.0
108.0,142.0,108.0
108.0,150.0,107.0
108.0,150.0,107.0
107.0,149.0,106.0
108.0,153.0,107.0
109.0,156.0,108.0
108.0,161.0,108.0
109.0,159.0,106.0
108.0,157.0,104.0
107.0,159.0,104.0
105.0,158.0,100.0
107.0,163.0,102.0
108.0,158.0,102.0
108.0,156.0,103.0
107.0,162.0,104.0
106.0,164.0,104.0
108.0,162.0,99.0
107.0,160.0,99.0
109.0,159.0,96.0
108.0,160.0,97.0
109.0,158.0,97.0
109.0,160.0,97.0
109.0,161.0,98.0
107.0,165.0,96.0
108.0,167.0,93.0
108.0,124.0,107.0
107.0,135.0,108.0
109.0,130.0,108.0
107.0,136.0,107.0
107.0,136.0,107.0
107.0,136.0,107.0
108.0,143.0,107.0
108.0,150.0,107.0
108.0,149.0,108.0
107.0,148.0,107.0
108.0,153.0,107.0
109.0,154.0,109.0
108.0,159.0,109.0
109.0,156.0,108.0
108.0,154.0,106.0
107.0,159.0,104.0
105.0,155.0,102.0
107.0,161.0,103.0
108.0,158.0,102.0
108.0,158.0,102.0
107.0,163.0,103.0
106.0,169.0,101.0
108.0,161.0,100.0
107.0,160.0,99.0
109.0,159.0,96.0
108.0,162.0,96.0
109.0,158.0,97.0
109.0,159.0,98.0
109.0,161.0,98.0
107.0,165.0,96.0
108.0,165.0,94.0
110.0,122.0,107.0
108.0,125.0,106.0
109.0,131.0,107.0
107.0,135.0,108.0
107.0,136.0,107.0
107.0,137.0,106.0
106.0,140.0,104.0
107.0,144.0,106.0
107.0,145.0,109.0
108.0,142.0,108.0
108.0,147.0,109.0
107.0,153.0,110.0
108.0,156.0,111.0
107.0,156.0,108.0
108.0,152.0,106.0
108.0,147.0,104.0
108.0,154.0,104.0
107.0,158.0,105.0
108.0,151.0,103.0
109.0,154.0,103.0
109.0,160.0,105.0
109.0,166.0,106.0
109.0,164.0,104.0
107.0,166.0,100.0
108.0,160.0,97.0
109.0,159.0,96.0
109.0,159.0,96.0
110.0,152.0,97.0
108.0,158.0,95.0
108.0,157.0,96.0
108.0,163.0,94.0
110.0,122.0,107.0
108.0,124.0,107.0
109.0,129.0,109.0
107.0,135.0,108.0
107.0,135.0,108.0
107.0,137.0,106.0
106.0,140.0,104.0
107.0,144.0,106.0
107.0,146.0,108.0
108.0,142.0,108.0
108.0,146.0,110.0
107.0,152.0,111.0
108.0,155.0,112.0
107.0,156.0,108.0
108.0,150.0,107.0
108.0,144.0,106.0
108.0,154.0,104.0
107.0,159.0,104.0
108.0,150.0,104.0
109.0,152.0,104.0
109.0,165.0,102.0
109.0,171.0,103.0
109.0,166.0,103.0
107.0,166.0,100.0
108.0,157.0,99.0
109.0,155.0,99.0
109.0,155.0,99.0
110.0,152.0,97.0
108.0,155.0,97.0
108.0,157.0,96.0
108.0,161.0,95.0
109.0,129.0,109.0
108.0,123.0,108.0
108.0,123.0,108.0
108.0,124.0,107.0
107.0,133.0,107.0
106.0,133.0,109.0
107.0,137.0,108.0
107.0,135.0,108.0
107.0,133.0,107.0
108.0,137.0,110.0
107.0,137.0,108.0
107.0,142.0,111.0
108.0,145.0,111.0
108.0,144.0,108.0
108.0,144.0,108.0
108.0,145.0,107.0
108.0,147.0,106.0
108.0,147.0,104.0
108.0,153.0,105.0
108.0,156.0,103.0
108.0,158.0,102.0
108.0,160.0,102.0
108.0,165.0,105.0
107.0,165.0,102.0
108.0,161.0,100.0
108.0,161.0,100.0
109.0,158.0,100.0
109.0,155.0,99.0
109.0,157.0,99.0
110.0,154.0,96.0
108.0,160.0,94.0
109.0,130.0,108.0
108.0,123.0,108.0
108.0,123.0,108.0
108.0,123.0,108.0
107.0,132.0,108.0
106.0,135.0,108.0
107.0,134.0,110.0
107.0,132.0,110.0
107.0,132.0,108.0
108.0,136.0,111.0
107.0,136.0,109.0
107.0,142.0,111.0
108.0,143.0,112.0
108.0,143.0,109.0
108.0,144.0,108.0
108.0,144.0,108.0
108.0,145.0,107.0
108.0,144.0,106.0
108.0,150.0,107.0
108.0,153.0,105.0
108.0,156.0,103.0
108.0,157.0,104.0
108.0,164.0,106.0
107.0,163.0,103.0
108.0,159.0,101.0
108.0,159.0,101.0
109.0,155.0,102.0
109.0,155.0,99.0
109.0,157.0,99.0
110.0,154.0,96.0
108.0,158.0,95.0
110.0,118.0,108.0
110.0,116.0,108.0
110.0,118.0,108.0
108.0,122.0,109.0
107.0,119.0,107.0
109.0,123.0,110.0
109.0,129.0,113.0
109.0,126.0,111.0
108.0,122.0,109.0
107.0,120.0,106.0
107.0,124.0,107.0
105.0,130.0,108.0
106.0,135.0,108.0
108.0,139.0,110.0
108.0,146.0,110.0
108.0,149.0,108.0
108.0,143.0,107.0
107.0,144.0,106.0
108.0,150.0,107.0
107.0,149.0,106.0
107.0,151.0,105.0
107.0,152.0,104.0
108.0,153.0,105.0
108.0,147.0,104.0
107.0,154.0,103.0
107.0,154.0,103.0
109.0,153.0,102.0
109.0,151.0,101.0
108.0,152.0,99.0
107.0,151.0,96.0
107.0,152.0,94.0
110.0,117.0,109.0
110.0,115.0,109.0
110.0,117.0,109.0
108.0,122.0,109.0
107.0,118.0,108.0
109.0,121.0,112.0
109.0,127.0,114.0
109.0,126.0,111.0
108.0,121.0,110.0
107.0,117.0,109.0
107.0,122.0,109.0
105.0,129.0,109.0
106.0,132.0,110.0
108.0,139.0,110.0
108.0,145.0,111.0
108.0,149.0,108.0
108.0,144.0,106.0
107.0,144.0,106.0
108.0,150.0,107.0
107.0,149.0,106.0
107.0,149.0,106.0
107.0,149.0,106.0
108.0,149.0,108.0
108.0,146.0,105.0
107.0,154.0,103.0
107.0,154.0,103.0
109.0,153.0,102.0
109.0,151.0,101.0
108.0,150.0,100.0
107.0,150.0,97.0
107.0,150.0,95.0
110.0,137.0,108.0
110.0,135.0,106.0
110.0,143.0,105.0
109.0,147.0,104.0
109.0,134.0,101.0
110.0,140.0,102.0
109.0,138.0,102.0
109.0,131.0,103.0
109.0,130.0,104.0
109.0,130.0,104.0
109.0,130.0,104.0
109.0,130.0,104.0
109.0,131.0,103.0
109.0,147.0,104.0
110.0,143.0,105.0
109.0,148.0,105.0
109.0,147.0,104.0
109.0,136.0,107.0
109.0,140.0,109.0
109.0,140.0,111.0
107.0,148.0,112.0
108.0,162.0,112.0
108.0,165.0,113.0
108.0,167.0,110.0
110.0,138.0,107.0
108.0,142.0,106.0
108.0,145.0,104.0
108.0,146.0,103.0
108.0,146.0,103.0
109.0,142.0,99.0
110.0,139.0,101.0
110.0,130.0,100.0
110.0,136.0,103.0
109.0,138.0,105.0
110.0,138.0,107.0
110.0,132.0,106.0
109.0,138.0,105.0
110.0,136.0,103.0
109.0,141.0,103.0
110.0,146.0,101.0
109.0,144.0,101.0
109.0,138.0,105.0
108.0,145.0,107.0
108.0,150.0,109.0
109.0,153.0,110.0
108.0,158.0,110.0
108.0,165.0,110.0
108.0,168.0,111.0
110.0,140.0,106.0
108.0,143.0,105.0
108.0,143.0,105.0
108.0,145.0,104.0
108.0,146.0,103.0
109.0,140.0,100.0
110.0,140.0,100.0
110.0,130.0,100.0
110.0,138.0,102.0
109.0,140.0,104.0
110.0,140.0,106.0
110.0,134.0,105.0
109.0,138.0,105.0
110.0,135.0,104.0
109.0,141.0,103.0
110.0,148.0,100.0
109.0,147.0,99.0
109.0,144.0,101.0
108.0,150.0,104.0
108.0,155.0,105.0
109.0,156.0,108.0
108.0,161.0,108.0
108.0,166.0,109.0
108.0,171.0,109.0
108.0,130.0,102.0
108.0,135.0,102.0
107.0,141.0,103.0
108.0,147.0,104.0
110.0,144.0,103.0
109.0,141.0,103.0
109.0,135.0,100.0
109.0,134.0,101.0
108.0,136.0,101.0
109.0,136.0,103.0
109.0,143.0,107.0
108.0,142.0,106.0
109.0,140.0,104.0
109.0,133.0,102.0
109.0,143.0,102.0
110.0,146.0,101.0
109.0,147.0,99.0
110.0,148.0,100.0
109.0,151.0,101.0
110.0,157.0,104.0
108.0,155.0,105.0
109.0,157.0,107.0
108.0,162.0,107.0
108.0,170.0,105.0
108.0,127.0,104.0
108.0,134.0,103.0
107.0,140.0,104.0
108.0,147.0,104.0
110.0,142.0,104.0
109.0,143.0,102.0
109.0,135.0,100.0
109.0,134.0,101.0
108.0,136.0,101.0
109.0,138.0,102.0
109.0,147.0,104.0
108.0,146.0,103.0
109.0,140.0,104.0
109.0,133.0,102.0
109.0,143.0,102.0
110.0,146.0,101.0
109.0,145.0,100.0
110.0,148.0,100.0
109.0,153.0,100.0
110.0,158.0,103.0
108.0,155.0,105.0
109.0,159.0,106.0
108.0,164.0,106.0
108.0,172.0,104.0
110.0,126.0,103.0
110.0,135.0,104.0
108.0,143.0,105.0
110.0,144.0,103.0
109.0,149.0,103.0
108.0,148.0,102.0
107.0,144.0,101.0
107.0,144.0,101.0
109.0,140.0,100.0
109.0,139.0,101.0
109.0,139.0,101.0
110.0,145.0,102.0
107.0,144.0,101.0
108.0,149.0,103.0
109.0,150.0,102.0
108.0,153.0,102.0
108.0,150.0,100.0
110.0,147.0,97.0
110.0,152.0,97.0
109.0,156.0,100.0
109.0,157.0,101.0
108.0,167.0,104.0
109.0,169.0,107.0
108.0,170.0,102.0
110.0,125.0,104.0
110.0,134.0,105.0
108.0,145.0,104.0
110.0,142.0,104.0
109.0,149.0,103.0
108.0,148.0,102.0
107.0,145.0,100.0
107.0,147.0,99.0
109.0,143.0,98.0
109.0,142.0,99.0
109.0,140.0,100.0
110.0,146.0,101.0
107.0,147.0,99.0
108.0,151.0,101.0
109.0,151.0,101.0
108.0,156.0,100.0
108.0,154.0,98.0
110.0,147.0,97.0
110.0,152.0,97.0
109.0,157.0,99.0
109.0,157.0,101.0
108.0,168.0,103.0
109.0,172.0,105.0
108.0,172.0,101.0
110.0,133.0,107.0
110.0,140.0,106.0
109.0,141.0,103.0
110.0,144.0,103.0
109.0,143.0,102.0
109.0,144.0,101.0
109.0,142.0,99.0
109.0,142.0,99.0
109.0,145.0,100.0
110.0,142.0,99.0
110.0,142.0,99.0
109.0,147.0,99.0
109.0,145.0,97.0
108.0,150.0,100.0
109.0,157.0,101.0
108.0,154.0,98.0
109.0,151.0,96.0
108.0,157.0,96.0
109.0,151.0,93.0
109.0,151.0,96.0
108.0,159.0,98.0
108.0,162.0,101.0
109.0,166.0,103.0
107.0,170.0,99.0
110.0,139.0,103.0
110.0,144.0,103.0
109.0,143.0,102.0
110.0,145.0,102.0
109.0,145.0,100.0
109.0,145.0,100.0
109.0,142.0,99.0
109.0,142.0,99.0
109.0,147.0,99.0
110.0,142.0,99.0
110.0,143.0,98.0
109.0,148.0,98.0
109.0,146.0,96.0
108.0,154.0,98.0
109.0,158.0,100.0
108.0,157.0,96.0
109.0,153.0,95.0
108.0,158.0,95.0
109.0,149.0,94.0
109.0,153.0,95.0
108.0,164.0,95.0
108.0,167.0,98.0
109.0,166.0,103.0
107.0,170.0,99.0
108.0,131.0,101.0
109.0,134.0,101.0
110.0,139.0,103.0
110.0,140.0,100.0
110.0,134.0,97.0
110.0,134.0,97.0
108.0,137.0,97.0
109.0,138.0,98.0
109.0,139.0,97.0
110.0,134.0,97.0
