contour
106 , 145 , 106 , 189
106 , 59 , 106 , 15
149 , 102 , 193 , 102
63 , 102 , 19 , 102
107 , 145 , 108 , 189
105 , 145 , 104 , 189
107 , 59 , 108 , 15
105 , 59 , 104 , 15
149 , 103 , 193 , 104
63 , 103 , 19 , 104
149 , 101 , 193 , 100
63 , 101 , 19 , 100
108 , 145 , 110 , 189
104 , 145 , 102 , 189
108 , 59 , 110 , 15
104 , 59 , 102 , 15
149 , 104 , 193 , 106
63 , 104 , 19 , 106
149 , 100 , 193 , 98
63 , 100 , 19 , 98
109 , 145 , 112 , 189
103 , 145 , 100 , 189
109 , 59 , 112 , 15
103 , 59 , 100 , 15
149 , 105 , 193 , 108
63 , 105 , 19 , 108
149 , 99 , 193 , 96
63 , 99 , 19 , 96
110 , 145 , 114 , 189
102 , 145 , 98 , 189
110 , 59 , 114 , 15
102 , 59 , 98 , 15
149 , 106 , 193 , 110
63 , 106 , 19 , 110
149 , 98 , 193 , 94
63 , 98 , 19 , 94
111 , 145 , 116 , 188
101 , 145 , 96 , 188
111 , 59 , 116 , 16
101 , 59 , 96 , 16
149 , 107 , 192 , 112
63 , 107 , 20 , 112
149 , 97 , 192 , 92
63 , 97 , 20 , 92
112 , 145 , 117 , 188
100 , 145 , 95 , 188
112 , 59 , 117 , 16
100 , 59 , 95 , 16
149 , 108 , 192 , 113
63 , 108 , 20 , 113
149 , 96 , 192 , 91
63 , 96 , 20 , 91
113 , 144 , 120 , 188
99 , 144 , 92 , 188
113 , 60 , 120 , 16
99 , 60 , 92 , 16
148 , 109 , 192 , 116
64 , 109 , 20 , 116
148 , 95 , 192 , 88
64 , 95 , 20 , 88
114 , 144 , 122 , 188
98 , 144 , 90 , 188
114 , 60 , 122 , 16
98 , 60 , 90 , 16
148 , 110 , 192 , 118
64 , 110 , 20 , 118
148 , 94 , 192 , 86
64 , 94 , 20 , 86
115 , 144 , 124 , 187
97 , 144 , 88 , 187
115 , 60 , 124 , 17
97 , 60 , 88 , 17
148 , 111 , 191 , 120
64 , 111 , 21 , 120
148 , 93 , 191 , 84
64 , 93 , 21 , 84
116 , 144 , 126 , 187
96 , 144 , 86 , 187
116 , 60 , 126 , 17
96 , 60 , 86 , 17
148 , 112 , 191 , 122
64 , 112 , 21 , 122
148 , 92 , 191 , 82
64 , 92 , 21 , 82
117 , 144 , 127 , 186
95 , 144 , 85 , 186
117 , 60 , 127 , 18
95 , 60 , 85 , 18
148 , 113 , 190 , 123
64 , 113 , 22 , 123
148 , 91 , 190 , 81
64 , 91 , 22 , 81
118 , 143 , 130 , 186
94 , 143 , 82 , 186
118 , 61 , 130 , 18
94 , 61 , 82 , 18
147 , 114 , 190 , 126
65 , 114 , 22 , 126
147 , 90 , 190 , 78
65 , 90 , 22 , 78
119 , 143 , 132 , 185
93 , 143 , 80 , 185
119 , 61 , 132 , 19
93 , 61 , 80 , 19
147 , 115 , 189 , 128
65 , 115 , 23 , 128
147 , 89 , 189 , 76
65 , 89 , 23 , 76
120 , 143 , 134 , 184
92 , 143 , 78 , 184
120 , 61 , 134 , 20
92 , 61 , 78 , 20
147 , 116 , 188 , 130
65 , 116 , 24 , 130
147 , 88 , 188 , 74
65 , 88 , 24 , 74
121 , 142 , 136 , 184
91 , 142 , 76 , 184
121 , 62 , 136 , 20
91 , 62 , 76 , 20
146 , 117 , 188 , 132
66 , 117 , 24 , 132
146 , 87 , 188 , 72
66 , 87 , 24 , 72
122 , 142 , 138 , 183
90 , 142 , 74 , 183
122 , 62 , 138 , 21
90 , 62 , 74 , 21
146 , 118 , 187 , 134
66 , 118 , 25 , 134
146 , 86 , 187 , 70
66 , 86 , 25 , 70
123 , 141 , 140 , 182
89 , 141 , 72 , 182
123 , 63 , 140 , 22
89 , 63 , 72 , 22
145 , 119 , 186 , 136
67 , 119 , 26 , 136
145 , 85 , 186 , 68
67 , 85 , 26 , 68
124 , 141 , 142 , 181
88 , 141 , 70 , 181
124 , 63 , 142 , 23
88 , 63 , 70 , 23
145 , 120 , 185 , 138
67 , 120 , 27 , 138
145 , 84 , 185 , 66
67 , 84 , 27 , 66
125 , 141 , 144 , 180
87 , 141 , 68 , 180
125 , 63 , 144 , 24
87 , 63 , 68 , 24
145 , 121 , 184 , 140
67 , 121 , 28 , 140
145 , 83 , 184 , 64
67 , 83 , 28 , 64
126 , 140 , 146 , 179
86 , 140 , 66 , 179
126 , 64 , 146 , 25
86 , 64 , 66 , 25
144 , 122 , 183 , 142
68 , 122 , 29 , 142
144 , 82 , 183 , 62
68 , 82 , 29 , 62
127 , 140 , 148 , 178
85 , 140 , 64 , 178
127 , 64 , 148 , 26
85 , 64 , 64 , 26
144 , 123 , 182 , 144
68 , 123 , 30 , 144
144 , 81 , 182 , 60
68 , 81 , 30 , 60
128 , 139 , 150 , 177
84 , 139 , 62 , 177
128 , 65 , 150 , 27
84 , 65 , 62 , 27
143 , 124 , 181 , 146
69 , 124 , 31 , 146
143 , 80 , 181 , 58
69 , 80 , 31 , 58
129 , 138 , 153 , 175
83 , 138 , 59 , 175
129 , 66 , 153 , 29
83 , 66 , 59 , 29
142 , 125 , 179 , 149
70 , 125 , 33 , 149
142 , 79 , 179 , 55
70 , 79 , 33 , 55
130 , 138 , 154 , 175
82 , 138 , 58 , 175
130 , 66 , 154 , 29
82 , 66 , 58 , 29
142 , 126 , 179 , 150
70 , 126 , 33 , 150
142 , 78 , 179 , 54
70 , 78 , 33 , 54
131 , 137 , 156 , 173
81 , 137 , 56 , 173
131 , 67 , 156 , 31
81 , 67 , 56 , 31
141 , 127 , 177 , 152
71 , 127 , 35 , 152
141 , 77 , 177 , 52
71 , 77 , 35 , 52
132 , 136 , 159 , 171
80 , 136 , 53 , 171
132 , 68 , 159 , 33
80 , 68 , 53 , 33
140 , 128 , 175 , 155
72 , 128 , 37 , 155
140 , 76 , 175 , 49
72 , 76 , 37 , 49
133 , 135 , 161 , 169
79 , 135 , 51 , 169
133 , 69 , 161 , 35
79 , 69 , 51 , 35
139 , 129 , 173 , 157
73 , 129 , 39 , 157
139 , 75 , 173 , 47
73 , 75 , 39 , 47
134 , 135 , 162 , 169
78 , 135 , 50 , 169
134 , 69 , 162 , 35
78 , 69 , 50 , 35
139 , 130 , 173 , 158
73 , 130 , 39 , 158
139 , 74 , 173 , 46
73 , 74 , 39 , 46
135 , 134 , 164 , 167
77 , 134 , 48 , 167
135 , 70 , 164 , 37
77 , 70 , 48 , 37
138 , 131 , 171 , 160
74 , 131 , 41 , 160
138 , 73 , 171 , 44
74 , 73 , 41 , 44
136 , 133 , 166 , 165
76 , 133 , 46 , 165
136 , 71 , 166 , 39
76 , 71 , 46 , 39
137 , 132 , 169 , 162
75 , 132 , 43 , 162
137 , 72 , 169 , 42
75 , 72 , 43 , 42
